Intensity Luminance0 Luminance1 Luminance2 Luminance3 Luminance4
0.0 4.364626251 4.37854850379 4.38899019339 4.38550963019 4.3681068142
0.000526315789474 4.41683469898 4.40639300938 4.41683469898 4.40987357258 4.42727638857
0.00105263157895 4.44467920456 4.45512089416 4.44467920456 4.47252371015 4.43771807817
0.00157894736842 4.50036821574 4.50036821574 4.51429046854 4.49688765254 4.48992652615
0.00210526315789 4.54213497412 4.52473215813 4.53865441093 4.54213497412 4.53865441093
0.00263157894737 4.57694060611 4.57694060611 4.56997947971 4.56997947971 4.58042116931
0.00315789473684 4.6082656749 4.6117462381 4.62218792769 4.61870736449 4.62914905409
0.00368421052632 4.66047412288 4.65003243328 4.66743524927 4.66047412288 4.67439637567
0.00421052631579 4.69876031806 4.68831862846 4.70224088126 4.70572144446 4.68483806527
0.00473684210526 4.73356595005 4.70920200766 4.74052707644 4.74748820284 4.73704651324
0.00526315789474 4.77533270843 4.77881327163 4.77533270843 4.77881327163 4.77881327163
0.00578947368421 4.81709946681 4.80317721402 4.81361890361 4.83102171961 4.81013834041
0.00631578947368 4.855385662 4.855385662 4.87626904119 4.86582735159 4.855385662
0.00684210526316 4.89367185718 4.91455523637 4.90411354678 4.89019129398 4.90063298358
0.00736842105263 4.93543861556 4.95980255795 4.94588030516 4.94239974196 4.94239974196
0.00789473684211 4.98416650034 4.97720537395 5.00504987953 4.97024424755 4.98068593714
0.00842105263158 5.02593325872 5.02245269553 5.03637494832 5.05029720111 5.01201100593
0.00894736842105 5.0781417067 5.07118058031 5.0746611435 5.0816222699 5.0851028331
0.00947368421053 5.11990846509 5.11294733869 5.10598621229 5.11642790189 5.10250564909
0.01 5.13731128108 5.15819466027 5.15123353387 5.16863634987 5.17211691306
