intensity_in R_out G_out B_out
4.431372549019607643e-01 6.907733499258041920e-01 6.656855525711525834e-01 7.124005995186400986e-01
4.470588235294117307e-01 6.935453278645596908e-01 6.686245759238974573e-01 7.150206966679659715e-01
4.509803921568627527e-01 6.963040742147670326e-01 6.715507368448513370e-01 7.176274209093989054e-01
4.549019607843137192e-01 6.990497663756880531e-01 6.744642027449001542e-01 7.202209559011393258e-01
4.588235294117646856e-01 7.017825778628166145e-01 6.773651374345779352e-01 7.228014812214277329e-01
4.627450980392157076e-01 7.045026784253000107e-01 6.802537012315447162e-01 7.253691724931948803e-01
4.666666666666666741e-01 7.072102341588466512e-01 6.831300510639731760e-01 7.279242015038817071e-01
4.705882352941176405e-01 7.099054076143315184e-01 6.859943405700353880e-01 7.304667363206565067e-01
4.745098039215686070e-01 7.125883579022959102e-01 6.888467201936644413e-01 7.329969414012409423e-01
4.784313725490195734e-01 7.152592407935307595e-01 6.916873372767637917e-01 7.355149777005481893e-01
4.823529411764705954e-01 7.179182088159212771e-01 6.945163361480207742e-01 7.380210027733244971e-01
4.862745098039215619e-01 7.205654113477188982e-01 6.973338582084779302e-01 7.405151708729749149e-01
4.901960784313725283e-01 7.232009947074029554e-01 7.001400420140049263e-01 7.429976330467442658e-01
4.941176470588235503e-01 7.258251022402810726e-01 7.029350233548073978e-01 7.454685372274162392e-01
4.980392156862745168e-01 7.284378744019716079e-01 7.057189353321012826e-01 7.479280283216848124e-01
5.019607843137254832e-01 7.310394488389058143e-01 7.084919084320762117e-01 7.503762482953431068e-01
5.058823529411764497e-01 7.336299604659752838e-01 7.112540705972630883e-01 7.528133362554288999e-01
5.098039215686274161e-01 7.362095415414509070e-01 7.140055472954166538e-01 7.552394285294580234e-01
5.137254901960783826e-01 7.387783217392863699e-01 7.167464615860188459e-01 7.576546587418699907e-01
5.176470588235293491e-01 7.413364282189186527e-01 7.194769341845014266e-01 7.600591578878058696e-01
5.215686274509804266e-01 7.438839856926697802e-01 7.221970835242831344e-01 7.624530544043286451e-01
5.254901960784313930e-01 7.464211164908488572e-01 7.249070258167121805e-01 7.648364742391956517e-01
5.294117647058823595e-01 7.489479406246516424e-01 7.276068751089989073e-01 7.672095409172828839e-01
5.333333333333333259e-01 7.514645758469449266e-01 7.302967433402214326e-01 7.695723756047596620e-01
5.372549019607842924e-01 7.539711377110243085e-01 7.329767403954809968e-01 7.719250971711046905e-01
5.411764705882352589e-01 7.564677396274259724e-01 7.356469741582815081e-01 7.742678222490515516e-01
5.450980392156862253e-01 7.589544929188706268e-01 7.383075505612050060e-01 7.766006652925476761e-01
5.490196078431373028e-01 7.614315068734148761e-01 7.409585736349484364e-01 7.789237386328065060e-01
5.529411764705882693e-01 7.638988887958790830e-01 7.436001455557874618e-01 7.812371525325272348e-01
5.568627450980392357e-01 7.663567440576216638e-01 7.462323666915280374e-01 7.835410152383568416e-01
5.607843137254902022e-01 7.688051761447219912e-01 7.488553356460045940e-01 7.858354330316614789e-01
5.647058823529411686e-01 7.712442867046358508e-01 7.514691493021793400e-01 7.881205102776744909e-01
5.686274509803921351e-01 7.736741755913794094e-01 7.540739028638984154e-01 7.903963494730821271e-01
5.725490196078431016e-01 7.760949409093007567e-01 7.566696898963530815e-01 7.926630512921094551e-01
5.764705882352940680e-01 7.785066790554904248e-01 7.592566023652965734e-01 7.949207146311615402e-01
5.803921568627450345e-01 7.809094847608830658e-01 7.618347306750624659e-01 7.971694366520751807e-01
5.843137254901961120e-01 7.833034511300990266e-01 7.644041637054288518e-01 7.994093128240348234e-01
5.882352941176470784e-01 7.856886696800730041e-01 7.669649888473704102e-01 8.016404369642002870e-01
5.921568627450980449e-01 7.880652303775137479e-01 7.695172920377409964e-01 8.038629012770970306e-01
5.960784313725490113e-01 7.904332216752383289e-01 7.720611577929231695e-01 8.060767963928114899e-01
5.999999999999999778e-01 7.927927305474222752e-01 7.745966692414834043e-01 8.082822114040378869e-01
6.039215686274509443e-01 7.951438425238032126e-01 7.771239081558686257e-01 8.104792339020169267e-01
6.078431372549019107e-01 7.974866417228775317e-01 7.796429549831781491e-01 8.126679500114072363e-01
6.117647058823529882e-01 7.998212108841254997e-01 7.821538888750428908e-01 8.148484444241267388e-01
6.156862745098039547e-01 8.021476313992975671e-01 7.846567877166449323e-01 8.170208004322027096e-01
6.196078431372549211e-01 8.044659833427982853e-01 7.871517281549059719e-01 8.191850999596637095e-01
6.235294117647058876e-01 8.067763455011967011e-01 7.896387856258745286e-01 8.213414235935088126e-01
6.274509803921568540e-01 8.090787954018936468e-01 7.921180343813394309e-01 8.234898506137844354e-01
6.313725490196078205e-01 8.113734093409781245e-01 7.945895475146950160e-01 8.256304590228030760e-01
6.352941176470587870e-01 8.136602624102964310e-01 7.970533969860856827e-01 8.277633255735297180e-01
6.392156862745097534e-01 8.159394285237639988e-01 7.995096536468523363e-01 8.298885257971682083e-01
6.431372549019607199e-01 8.182109804429450461e-01 8.019583872633048172e-01 8.320061340299720332e-01
6.470588235294117974e-01 8.204749898019236820e-01 8.043996665398437385e-01 8.341162234393080244e-01
6.509803921568627638e-01 8.227315271314911138e-01 8.068335591414519392e-01 8.362188660489967562e-01
6.549019607843137303e-01 8.249806618826722726e-01 8.092601317155774243e-01 8.383141327639549445e-01
6.588235294117646967e-01 8.272224624496119505e-01 8.116794499134277752e-01 8.404020933941623861e-01
6.627450980392156632e-01 8.294569961918440981e-01 8.140915784106943498e-01 8.424828166779761984e-01
6.666666666666666297e-01 8.316843294559617128e-01 8.164965809277260345e-01 8.445563703048138970e-01
6.705882352941175961e-01 8.339045275967092996e-01 8.188945202491695330e-01 8.466228209372259617e-01
6.745098039215686736e-01 8.361176549975154471e-01 8.212854582430938466e-01 8.486822342323776525e-01
6.784313725490196401e-01 8.383237750904823926e-01 8.236694558796141541e-01 8.507346748629598387e-01
6.823529411764706065e-01 8.405229503758532283e-01 8.260465732490333002e-01 8.527802065375459373e-01
6.862745098039215730e-01 8.427152424409695142e-01 8.284168695795139925e-01 8.548188920204140562e-01
6.901960784313725394e-01 8.449007119787382836e-01 8.307804032542971395e-01 8.568507931508509978e-01
6.941176470588235059e-01 8.470794188056225416e-01 8.331372318284806511e-01 8.588759708619537747e-01
6.980392156862744724e-01 8.492514218791704650e-01 8.354874120453728015e-01 8.608944851989457359e-01
7.019607843137254388e-01 8.514167793150972940e-01 8.378309998524317015e-01 8.629063953370210704e-01
7.058823529411764053e-01 8.535755484039351249e-01 8.401680504168058672e-01 8.649117595987338980e-01
7.098039215686274828e-01 8.557277856272614835e-01 8.424986181404854335e-01 8.669106354709449347e-01
7.137254901960784492e-01 8.578735466735221138e-01 8.448227566750782236e-01 8.689030796213395025e-01
7.176470588235294157e-01 8.600128864534585249e-01 8.471405189362207766e-01 8.708891479145306480e-01
7.215686274509803821e-01 8.621458591151536233e-01 8.494519571176349926e-01 8.728688954277591394e-01
7.254901960784313486e-01 8.642725180587046419e-01 8.517571227048420512e-01 8.748423764662036639e-01
7.294117647058823151e-01 8.663929159505383559e-01 8.540560664885428199e-01 8.768096445779115511e-01
7.333333333333332815e-01 8.685071047373748021e-01 8.563488385776751866e-01 8.787707525683622345e-01
7.372549019607843590e-01 8.706151356598537117e-01 8.586354884121575326e-01 8.807257525146754418e-01
7.411764705882353255e-01 8.727170592658305415e-01 8.609160647753271167e-01 8.826746957794714410e-01
7.450980392156862919e-01 8.748129254233544261e-01 8.631906158060839163e-01 8.846176330243978869e-01
7.490196078431372584e-01 8.769027833333357114e-01 8.654591890107454777e-01 8.865546142233293736e-01
7.529411764705882248e-01 8.789866815419117296e-01 8.677218312746246554e-01 8.884856886752512395e-01
7.568627450980391913e-01 8.810646679525212521e-01 8.699785888733350125e-01 8.904109050168366180e-01
7.607843137254901578e-01 8.831367898376941694e-01 8.722295074838330997e-01 8.923303112347240607e-01
7.647058823529411242e-01 8.852030938505662805e-01 8.744746321952061585e-01 8.942439546775071690e-01
7.686274509803920907e-01 8.872636260361246308e-01 8.767140075192092485e-01 8.961518820674416741e-01
7.725490196078431682e-01 8.893184318421939460e-01 8.789476774005624549e-01 8.980541395118794012e-01
7.764705882352941346e-01 8.913675561301687145e-01 8.811756852270119511e-01 8.999507725144366699e-01
7.803921568627451011e-01 8.934110431855000201e-01 8.833980738391640219e-01 9.018418259859048991e-01
7.843137254901960675e-01 8.954489367279424572e-01 8.856148855400952646e-01 9.037273442549095259e-01
7.882352941176470340e-01 8.974812799215695636e-01 8.878261621047484065e-01 9.056073710783258957e-01
7.921568627450980005e-01 8.995081153845615463e-01 8.900319447891170688e-01 9.074819496514570094e-01
7.960784313725489669e-01 9.015294851987742941e-01 8.922322743392265831e-01 9.093511226179815665e-01
8.000000000000000444e-01 9.035454309190944500e-01 8.944271909999158554e-01 9.112149320796771867e-01
8.039215686274510109e-01 9.055559935825845397e-01 8.966167345234256070e-01 9.130734196059255847e-01
8.078431372549019773e-01 9.075612137174285943e-01 8.988009441777984332e-01 9.149266262430055807e-01
8.117647058823529438e-01 9.095611313516777097e-01 9.009798587550961191e-01 9.167745925231798321e-01
8.156862745098039102e-01 9.115557860218054254e-01 9.031535165794373210e-01 9.186173584735801700e-01
8.196078431372548767e-01 9.135452167810763635e-01 9.053219555148626085e-01 9.204549636248980926e-01
8.235294117647058432e-01 9.155294622077320144e-01 9.074852129730300865e-01 9.222874470198838548e-01
8.274509803921568096e-01 9.175085604130013284e-01 9.096433259207461486e-01 9.241148472216619281e-01
8.313725490196077761e-01 9.194825490489368924e-01 9.117963308873356931e-01 9.259372023218641612e-01
8.352941176470588536e-01 9.214514653160851276e-01 9.139442639718566852e-01 9.277545499485894132e-01
8.392156862745098200e-01 9.234153459709918410e-01 9.160871608501616192e-01 9.295669272741898803e-01
8.431372549019607865e-01 9.253742273335489044e-01 9.182250567818114328e-01 9.313743710228932216e-01
8.470588235294117530e-01 9.273281452941861680e-01 9.203579866168445367e-01 9.331769174782603704e-01
8.509803921568627194e-01 9.292771353209118290e-01 9.224859848024048459e-01 9.349746024904869168e-01
8.549019607843136859e-01 9.312212324662053620e-01 9.246090853892328099e-01 9.367674614835491687e-01
8.588235294117646523e-01 9.331604713737673418e-01 9.267273220380225496e-01 9.385555294622012212e-01
8.627450980392157298e-01 9.350948862851288235e-01 9.288407280256479881e-01 9.403388410188250335e-01
8.666666666666666963e-01 9.370245110461251636e-01 9.309493362512627490e-01 9.421174303401383954e-01
8.705882352941176627e-01 9.389493791132358380e-01 9.330531792422753767e-01 9.438913312137637845e-01
8.745098039215686292e-01 9.408695235597952511e-01 9.351522891602034315e-01 9.456605770346621087e-01
8.784313725490195957e-01 9.427849770820773134e-01 9.372466978064097898e-01 9.474252008114336654e-01
8.823529411764705621e-01 9.446957720052554519e-01 9.393364366277242583e-01 9.491852351724910930e-01
8.862745098039215286e-01 9.466019402892443813e-01 9.414215367219519459e-01 9.509407123721065336e-01
8.901960784313724950e-01 9.485035135344223045e-01 9.435020288432730551e-01 9.526916642963358939e-01
8.941176470588234615e-01 9.504005229872404259e-01 9.455779434075349821e-01 9.544381224688239795e-01
8.980392156862745390e-01 9.522929995457199981e-01 9.476493104974406112e-01 9.561801180564937219e-01
9.019607843137255054e-01 9.541809737648401235e-01 9.497161598676341354e-01 9.579176818751198308e-01
9.058823529411764719e-01 9.560644758618199734e-01 9.517785209496884002e-01 9.596508443947939782e-01
9.098039215686274384e-01 9.579435357212965352e-01 9.538364228569946590e-01 9.613796357452795149e-01
9.137254901960784048e-01 9.598181829004011067e-01 9.558898943895569600e-01 9.631040857212619377e-01
9.176470588235293713e-01 9.616884466337375370e-01 9.579389640386956062e-01 9.648242237874954386e-01
9.215686274509803377e-01 9.635543558382628770e-01 9.599836599916585778e-01 9.665400790838490908e-01
9.254901960784314152e-01 9.654159391180744398e-01 9.620240101361459129e-01 9.682516804302547797e-01
9.294117647058823817e-01 9.672732247691043783e-01 9.640600420647473801e-01 9.699590563315586556e-01
9.333333333333333481e-01 9.691262407837247794e-01 9.660917830792958849e-01 9.716622349822801041e-01
9.372549019607843146e-01 9.709750148552644955e-01 9.681192601951394971e-01 9.733612442712775703e-01
9.411764705882352811e-01 9.728195743824400443e-01 9.701425001453318764e-01 9.750561117863261185e-01
9.450980392156862475e-01 9.746599464737033536e-01 9.721615293847448713e-01 9.767468648186071745e-01
9.490196078431372140e-01 9.764961579515071266e-01 9.741763740941048466e-01 9.784335303671136685e-01
9.529411764705881804e-01 9.783282353564896061e-01 9.761870601839527373e-01 9.801161351429706903e-01
9.568627450980391469e-01 9.801562049515829544e-01 9.781936132985326049e-01 9.817947055736757633e-01
9.607843137254902244e-01 9.819800927260429191e-01 9.801960588196069191e-01 9.834692678072594063e-01
9.647058823529411908e-01 9.837999243994051124e-01 9.821944218702024498e-01 9.851398477163670897e-01
9.686274509803921573e-01 9.856157254253687938e-01 9.841887273182883256e-01 9.868064709022664749e-01
9.725490196078431238e-01 9.874275209956075994e-01 9.861789997803862562e-01 9.884691626987799351e-01
9.764705882352940902e-01 9.892353360435118814e-01 9.881652636251155863e-01 9.901279481761435797e-01
9.803921568627450567e-01 9.910391952478625477e-01 9.901475429766742886e-01 9.917828521447967782e-01
9.843137254901960231e-01 9.928391230364375097e-01 9.921258617182580064e-01 9.934338991591012968e-01
9.882352941176471006e-01 9.946351435895535165e-01 9.941002434954168132e-01 9.950811135209931546e-01
9.921568627450980671e-01 9.964272808435442608e-01 9.960707117193527971e-01 9.967245192835674228e-01
9.960784313725490335e-01 9.982155584941756477e-01 9.980372895701588032e-01 9.983641402545990751e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
